name,command,est_runtime_s,deadline_s,priority,submit_time
EVAL_job_000,sleep 2,162.53,361.75,2,2733.67
LLM_INFER_job_001,sleep 4,280.62,839.66,2,725.87
DATA_PREP_job_002,sleep 9,581.24,872.84,1,3153.44
LLM_INFER_job_003,sleep 1,116.94,259.93,2,724.85
LLM_INFER_job_004,sleep 2,179.78,278.75,2,490.61
EVAL_job_005,sleep 9,569.18,1606.36,1,3093.19
LLM_TRAIN_job_006,sleep 61,3673.58,6500.32,0,3491.56
LLM_FT_job_007,sleep 38,2317.35,5431.53,2,3047.18
VISION_TRAIN_job_008,sleep 16,963.36,2486.52,1,1077.13
LLM_INFER_job_009,sleep 1,101.17,179.08,2,493.43
VISION_TRAIN_job_010,sleep 16,992.53,2336.96,1,1041.62
LLM_INFER_job_011,sleep 3,238.64,411.55,2,2362.88
DATA_PREP_job_012,sleep 5,304.63,828.20,0,2114.92
LLM_INFER_job_013,sleep 4,258.16,744.36,2,3082.18
LLM_INFER_job_014,sleep 3,221.09,551.83,2,252.63
LLM_TRAIN_job_015,sleep 67,4039.49,7646.07,1,10.21
LLM_TRAIN_job_016,sleep 61,3660.14,9547.87,1,703.23
LLM_INFER_job_017,sleep 3,221.07,483.59,2,668.07
LLM_FT_job_018,sleep 19,1175.34,1920.01,1,666.41
LLM_FT_job_019,sleep 21,1274.96,3506.12,1,1507.56
DATA_PREP_job_020,sleep 9,567.24,928.16,0,194.34
LLM_FT_job_021,sleep 24,1486.80,3048.64,1,2557.01
LLM_FT_job_022,sleep 27,1630.77,2991.10,1,298.71
LLM_FT_job_023,sleep 20,1232.42,2331.09,2,2035.62
VISION_TRAIN_job_024,sleep 26,1601.22,3797.04,1,3220.64
LLM_FT_job_025,sleep 34,2080.16,5999.05,1,3450.76
LLM_INFER_job_026,sleep 1,110.37,282.96,2,1957.93
DATA_PREP_job_027,sleep 6,388.88,1036.07,1,175.88
DATA_PREP_job_028,sleep 2,152.58,345.39,0,41.72
LLM_TRAIN_job_029,sleep 50,3034.07,7712.33,0,376.07
LLM_TRAIN_job_030,sleep 61,3699.41,9865.64,1,2291.48
DATA_PREP_job_031,sleep 7,445.31,848.14,1,1880.87
EVAL_job_032,sleep 14,873.31,1342.43,1,504.46
LLM_FT_job_033,sleep 22,1338.08,3605.48,1,2327.65
LLM_FT_job_034,sleep 34,2094.07,5357.99,1,3328.88
EVAL_job_035,sleep 6,377.07,798.46,2,258.60
LLM_INFER_job_036,sleep 2,165.55,419.08,2,2827.77
EVAL_job_037,sleep 10,657.98,1204.34,2,2770.90
LLM_TRAIN_job_038,sleep 88,5338.91,10460.38,0,1977.70
DATA_PREP_job_039,sleep 5,351.37,941.28,1,1990.99
LLM_FT_job_040,sleep 34,2045.58,5395.62,2,3433.79
VISION_TRAIN_job_041,sleep 10,604.67,1677.45,1,3204.15
DATA_PREP_job_042,sleep 2,153.27,422.89,1,1022.87
VISION_TRAIN_job_043,sleep 18,1090.39,2935.44,1,336.62
LLM_INFER_job_044,sleep 1,66.40,129.44,2,1331.18
LLM_FT_job_045,sleep 19,1182.65,2315.59,2,1958.97
LLM_TRAIN_job_046,sleep 35,2120.95,4424.56,0,1127.27
LLM_FT_job_047,sleep 43,2634.54,6196.02,1,2075.09
DATA_PREP_job_048,sleep 9,586.72,973.96,0,3458.36
LLM_TRAIN_job_049,sleep 54,3271.91,8552.87,0,3441.04
